t,q_0,dq_0,ddq_0,tau_est_0,q_1,dq_1,ddq_1,tau_est_1,q_2,dq_2,ddq_2,tau_est_2
0.0023844242095947266,-0.029434628784656525,-0.03196299821138382,0.0,0.0,0.023644553497433662,0.003393016755580902,0.0,0.0,0.1406244933605194,-0.0007741118897683918,0.0,0.0
0.010574579238891602,-0.02940487489104271,0.009918156079947948,0.0,0.0,0.023656461387872696,0.0039696963503956795,0.0,0.0,0.14062745869159698,0.0009915364207699895,0.0,0.0
0.01772475242614746,-0.02940487489104271,0.009918156079947948,0.0,0.0,0.023656461387872696,0.0039696963503956795,0.0,0.0,0.14062745869159698,0.0009915364207699895,0.0,0.0
0.023524761199951172,-0.029331352561712265,0.024507159367203712,0.0,0.0,0.023657577112317085,0.0003718849620781839,0.0,0.0,0.14063487946987152,0.002474344102665782,0.0,0.0
0.03527522087097168,-0.029257794842123985,0.05199083313345909,0.0,0.0,0.023794734850525856,0.044336095452308655,0.0,0.0,0.14063672721385956,0.0022573829628527164,0.0,0.0
0.04021883010864258,-0.029257794842123985,0.05199083313345909,0.0,0.0,0.023794734850525856,0.044336095452308655,0.0,0.0,0.14063672721385956,0.0022573829628527164,0.0,0.0
0.04434680938720703,-0.029257794842123985,0.05199083313345909,0.0,0.0,0.023794734850525856,0.044336095452308655,0.0,0.0,0.14063672721385956,0.0022573829628527164,0.0,0.0
0.048491477966308594,-0.029257794842123985,0.05199083313345909,0.0,0.0,0.023794734850525856,0.044336095452308655,0.0,0.0,0.14063672721385956,0.0022573829628527164,0.0,0.0
0.05170583724975586,-0.029257794842123985,0.05199083313345909,0.0,0.0,0.023794734850525856,0.044336095452308655,0.0,0.0,0.14063672721385956,0.0022573829628527164,0.0,0.0
0.05783486366271973,-0.0293333251029253,0.002711960580199957,0.0,0.0,0.02375030517578125,-0.013915330171585083,0.0,0.0,0.14063456654548645,0.000758472247980535,0.0,0.0
0.06188607215881348,-0.0293333251029253,0.002711960580199957,0.0,0.0,0.02375030517578125,-0.013915330171585083,0.0,0.0,0.14063456654548645,0.000758472247980535,0.0,0.0
0.06599807739257812,-0.0293333251029253,0.002711960580199957,0.0,0.0,0.02375030517578125,-0.013915330171585083,0.0,0.0,0.14063456654548645,0.000758472247980535,0.0,0.0
0.07042646408081055,-0.029293352738022804,0.01332396361976862,0.0,0.0,0.023697877302765846,-0.01747603714466095,0.0,0.0,0.14063452184200287,-1.6773876268416643e-05,0.0,0.0
0.07429695129394531,-0.029293352738022804,0.01332396361976862,0.0,0.0,0.023697877302765846,-0.01747603714466095,0.0,0.0,0.14063452184200287,-1.6773876268416643e-05,0.0,0.0
0.08081555366516113,-0.029391733929514885,-0.032793574035167694,0.0,0.0,0.023698413744568825,0.0001786436332622543,0.0,0.0,0.14063207805156708,-0.0008150241919793189,0.0,0.0
0.08770275115966797,-0.029391733929514885,-0.032793574035167694,0.0,0.0,0.023698413744568825,0.0001786436332622543,0.0,0.0,0.14063207805156708,-0.0008150241919793189,0.0,0.0
0.09396910667419434,-0.029415618628263474,-0.007961534895002842,0.0,0.0,0.023668412119150162,-0.010000014677643776,0.0,0.0,0.14063674211502075,0.0015538769075646996,0.0,0.0
0.10411381721496582,-0.029368478804826736,-0.022280478850007057,0.0,0.0,0.023568028584122658,0.0003229737631045282,0.0,0.0,0.14062316715717316,-0.0004842590424232185,0.0,0.0
0.10940313339233398,-0.029449835419654846,-0.02711881697177887,0.0,0.0,0.023636184632778168,0.022718744352459908,0.0,0.0,0.1406233310699463,5.265037179924548e-05,0.0,0.0
0.12342953681945801,-0.029362877830863,0.021001160144805908,0.0,0.0,0.023662658408284187,0.0019345086766406894,0.0,0.0,0.14062803983688354,0.0010653886711224914,0.0,0.0
0.12866568565368652,-0.029362877830863,0.021001160144805908,0.0,0.0,0.023662658408284187,0.0019345086766406894,0.0,0.0,0.14062803983688354,0.0010653886711224914,0.0,0.0
0.1353132724761963,-0.029362877830863,0.021001160144805908,0.0,0.0,0.023662658408284187,0.0019345086766406894,0.0,0.0,0.14062803983688354,0.0010653886711224914,0.0,0.0
0.1418750286102295,-0.029390478506684303,0.009534764103591442,0.0,0.0,0.02367926388978958,-0.011011951602995396,0.0,0.0,0.14062820374965668,6.386304448824376e-05,0.0,0.0
0.14653730392456055,-0.029390478506684303,0.009534764103591442,0.0,0.0,0.02367926388978958,-0.011011951602995396,0.0,0.0,0.14062820374965668,6.386304448824376e-05,0.0,0.0
0.15191268920898438,-0.029234331101179123,0.05204928293824196,0.0,0.0,0.023565102368593216,-0.038054078817367554,0.0,0.0,0.14061462879180908,-0.0045227897353470325,0.0,0.0
0.15697097778320312,-0.02928486093878746,-0.016843432560563087,0.0,0.0,0.023554397746920586,-0.003568043000996113,0.0,0.0,0.1406136006116867,-0.0003410702047403902,0.0,0.0
0.1626572608947754,-0.029363099485635757,-0.02607920952141285,0.0,0.0,0.023615587502717972,0.020396437495946884,0.0,0.0,0.14061450958251953,0.00030125107150524855,0.0,0.0
0.16639113426208496,-0.029450012370944023,-0.028971122577786446,0.0,0.0,0.02368558570742607,0.023332860320806503,0.0,0.0,0.14061503112316132,0.0001757097343215719,0.0,0.0
0.16948461532592773,-0.029450012370944023,-0.028971122577786446,0.0,0.0,0.02368558570742607,0.023332860320806503,0.0,0.0,0.14061503112316132,0.0001757097343215719,0.0,0.0
0.17353320121765137,-0.029450012370944023,-0.028971122577786446,0.0,0.0,0.02368558570742607,0.023332860320806503,0.0,0.0,0.14061503112316132,0.0001757097343215719,0.0,0.0
0.1764371395111084,-0.029450012370944023,-0.028971122577786446,0.0,0.0,0.02368558570742607,0.023332860320806503,0.0,0.0,0.14061503112316132,0.0001757097343215719,0.0,0.0
0.18157315254211426,-0.029414091259241104,0.011973767541348934,0.0,0.0,0.023696918040513992,0.0037772494833916426,0.0,0.0,0.14061856269836426,0.0011739461915567517,0.0,0.0
0.18636226654052734,-0.029350368306040764,0.02124103158712387,0.0,0.0,0.023655744269490242,-0.013724212534725666,0.0,0.0,0.1406228095293045,0.001415696693584323,0.0,0.0
0.1912539005279541,-0.029350368306040764,0.02124103158712387,0.0,0.0,0.023655744269490242,-0.013724212534725666,0.0,0.0,0.1406228095293045,0.001415696693584323,0.0,0.0
0.19946503639221191,-0.029277920722961426,0.02414923533797264,0.0,0.0,0.023821743205189705,0.055332835763692856,0.0,0.0,0.14062578976154327,0.0009936530841514468,0.0,0.0
0.20360898971557617,-0.029277920722961426,0.02414923533797264,0.0,0.0,0.023821743205189705,0.055332835763692856,0.0,0.0,0.14062578976154327,0.0009936530841514468,0.0,0.0
0.2102339267730713,-0.02941509708762169,-0.045725513249635696,0.0,0.0,0.023836640641093254,0.004965729545801878,0.0,0.0,0.1406276673078537,0.0006279500667005777,0.0,0.0
0.21312212944030762,-0.029323868453502655,0.012518808245658875,0.0,0.0,0.023679515346884727,-0.01722911186516285,0.0,0.0,0.14062806963920593,0.0013954442692920566,0.0,0.0
0.22401094436645508,-0.0293614249676466,0.014626529067754745,0.0,0.0,0.023731201887130737,-0.018225524574518204,0.0,0.0,0.14062388241291046,-0.00035092802136205137,0.0,0.0
0.22989797592163086,-0.02947065234184265,-0.048928242176771164,0.0,0.0,0.023679273203015327,-8.029409946175292e-05,0.0,0.0,0.14062923192977905,0.0003877115959767252,0.0,0.0
0.23324823379516602,-0.02947065234184265,-0.048928242176771164,0.0,0.0,0.023679273203015327,-8.029409946175292e-05,0.0,0.0,0.14062923192977905,0.0003877115959767252,0.0,0.0
